battery_id,cycle,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,time,capacity,initial_capacity,soh,capacity_fade,resistance_proxy
B0005,0.0,0.7418974661166757,0.3751035625517809,0.5628333105428691,0.0,0.0,1.0,1.856487,1.856487,100.0,,-1.940836861494474
B0005,0.005988023952095809,0.786093105480262,0.3773819386909687,0.5976799307169891,0.0,0.0,0.9811165412343388,1.846327,1.856487,99.45272980634931,-0.010159999999999947,-1.946137764084507
B0005,0.01197604790419162,0.8238067177371846,0.37966031483015694,0.5789233784584535,0.0,0.0,0.9592670389174467,1.835349,1.856487,98.86139789828854,-0.01056900000000005,-1.95083952656207
B0005,0.017964071856287428,0.8238067177371846,0.36081193040596515,0.5497515839372804,0.0,0.0,0.938071966138549,1.835263,1.856487,98.85676549310607,-0.007074666666666636,-1.941115249780894
B0005,0.023952095808383235,0.8155568650559815,0.35977630488815215,0.519531428050505,0.0,0.0,0.9355492458227341,1.834646,1.856487,98.82353067918062,-0.00546025,-1.9398170965445485
B0005,0.02994011976047905,0.8096641131408404,0.3790389395194693,0.5313596791102606,0.0,0.0,0.9599425790856988,1.835662,1.856487,98.8782576985457,-0.0041650000000000185,-1.9491963892558346
B0005,0.035928143712574856,0.8078962875662938,0.3790389395194693,0.541888873695247,0.0,0.0,0.9584120583920033,1.835146,1.856487,98.85046326745083,-0.0035568333333333424,-1.9490312637604579
B0005,0.04191616766467066,0.8850913376546856,0.3220795360397677,0.5259583390309501,0.0,0.0,0.8756794984114249,1.825757,1.856487,98.34472312491282,-0.004389999999999989,-1.9270726020712465
B0005,0.04790419161676647,0.8780200353565135,0.30198840099419977,0.5112812799124855,0.0,0.0,0.8526055795395773,1.824774,1.856487,98.29177365637356,-0.003964125000000013,-1.9163430420711973
B0005,0.05389221556886228,0.8680023571007673,0.3028169014084505,0.49548748803500686,0.0,0.0,0.8533022303380866,1.824613,1.856487,98.28310136295056,-0.003541555555555551,-1.9158394475615022
B0005,0.05988023952095809,0.8568061284619937,0.28251864125932036,0.4682073020648163,0.0,0.0,0.8311360685673268,1.82462,1.856487,98.28347841918634,-0.003186700000000009,-1.9047440163142644
